CsiNumber,Symbol,Name,Exchange,IsActive,StartDate,EndDate,Sector,Industry,ConversionFactor,SwitchCfDate,PreSwitchCf,LastVolume,Type,ChildExchange,Currency
98989,RUSS,"Direxion Daily Russia Bear 3X S",NYSE,1,2011-05-25,2015-09-17,,,2,,,354700,Exchange-Traded Fund,NYSE ARCA,USD
98990,SOIL,"Global X Fertilizers/Potash ETF",NYSE,1,2011-05-26,2015-09-17,,,2,,,600,Exchange-Traded Fund,NYSE ARCA,USD
98991,UDNT,"Powershares DB 3X Short US Doll",NYSE,0,2011-05-24,2015-02-24,,,2,,,,Exchange-Traded Fund,NYSE ARCA,USD
98992,UUPT,"Powershares DB 3X Long US Dollar",NYSE,0,2011-05-24,2015-02-24,,,2,,,,Exchange-Traded Fund,NYSE ARCA,USD
99043,BARN,"Global X Farming ETF",NYSE,0,2011-06-03,2012-02-16,,,2,,,,Exchange-Traded Fund,,USD
99138,ABCS,"Guggenheim ABC High Dividend ETF",NYSE,0,2011-06-08,2013-07-03,,,2,,,,Exchange-Traded Fund,,USD
99141,DBJP,"Ds Msci Jpn Etf",NYSE,1,2011-06-09,2015-09-17,,,2,,,214500,Exchange-Traded Fund,NYSE ARCA,USD
99142,DBGR,"Ds X Msci Gr Etf",NYSE,1,2011-06-09,2015-09-17,,,2,,,19400,Exchange-Traded Fund,NYSE ARCA,USD
99143,DBBR,"Dsc Xtr Msci Etf",NYSE,1,2011-06-09,2015-09-17,,,2,,,1100,Exchange-Traded Fund,NYSE ARCA,USD
99144,DBEF,"Ds Msci Eafe Etf",NYSE,1,2011-06-09,2015-09-17,,,2,,,2851000,Exchange-Traded Fund,NYSE ARCA,USD
99145,DBEM,"Ds Msci Emkt Etf",NYSE,1,2011-06-09,2015-09-17,,,2,,,41900,Exchange-Traded Fund,NYSE ARCA,USD
99146,SDIV,"Global X Suprdiv",NYSE,1,2011-06-09,2015-09-17,,,2,,,206100,Exchange-Traded Fund,NYSE ARCA,USD
99150,ROOF,"IQ US Real Estate Small Cap ETF",NYSE,1,2011-06-14,2015-09-17,,,2,,,5000,Exchange-Traded Fund,NYSE ARCA,USD
99158,CVD,"Ishares Convertible Bond Index ETF",TSX,1,2011-06-14,2015-09-17,,,2,,,1700,Exchange-Traded Fund,Toronto Stock Exchange,CAD
99161,CURE,"Direxion Daily Healthcare Bull",NYSE,1,2011-06-15,2015-09-17,,,2,,,671300,Exchange-Traded Fund,NYSE ARCA,USD
99162,PXLV,"Pwsh Rs 200Pr Vl",OTC,1,2011-06-16,2015-09-17,,,2,,,700,Exchange-Traded Fund,NYSE ARCA,USD
99181,FLOT,"Ishares Floating Rate Bond",NYSE,1,2011-06-17,2015-09-17,,,2,,,529600,Exchange-Traded Fund,NYSE ARCA,USD
99182,MATL,"Direxion Daily Basic Materials",NYSE,1,2011-06-15,2015-09-17,,,2,,,3400,Exchange-Traded Fund,NYSE ARCA,USD
99183,PXLG,"Pwsh Rs200pu Grw",NYSE,1,2011-06-16,2015-09-17,,,2,,,900,Exchange-Traded Fund,NYSE ARCA,USD
99208,MATH,"Meidell Tactical Advantage ETF",OTC,1,2011-06-23,2015-09-17,,,2,,,0,Exchange-Traded Fund,NYSE ARCA,USD
99213,IEML,"Ishares BARC CAP EMG MKT LOC GVT",LSE,1,2011-07-12,2015-09-17,,,2,,,9200,Exchange-Traded Fund,London Stock Exchange,USD
99222,FWDD,"Madrona Forward Domestic ETF",NYSE,1,2011-07-01,2015-09-17,,,2,,,1700,Exchange-Traded Fund,NYSE ARCA,USD
99245,QGEM,"Egshares Technology GEMS ETF",NYSE,0,2011-06-24,2013-10-04,,,2,,,,Exchange-Traded Fund,,USD
99246,HGEM,"Egshares Health Care GEMS ETF",NYSE,0,2011-06-24,2013-10-04,,,2,,,,Exchange-Traded Fund,,USD
99254,HPRD,"HSBC FTSE EPRA USD",LSE,1,2011-06-22,2015-09-17,,,2,,,0,Exchange-Traded Fund,London Stock Exchange,USD
99255,HPRO,"HSBC FTSE EPRA",LSE,1,2011-06-22,2015-09-17,,,2,,,7900,Exchange-Traded Fund,London Stock Exchange,GBp
99257,UGEM,"Egshares Utilities GEMS ETF",NYSE,0,2011-06-23,2013-10-04,,,2,,,,Exchange-Traded Fund,,USD
99258,HUK,"Horizons Comex Copper ETF",TSX,0,2011-04-20,2013-01-15,,,2,,,,Exchange-Traded Fund,Toronto Stock Exchange,
99263,RSUN,"IQ Japan Mid Cap ETF",NYSE,0,2011-06-02,2011-12-23,,,2,,,,Exchange-Traded Fund,,USD
99266,HYS,"PIMCO 0-5 Year High Yield Corpo",NYSE,1,2011-06-17,2015-09-17,,,2,,,474300,Exchange-Traded Fund,NYSE ARCA,USD
99267,GASZ,"Natural Gas Futures Contango ETF",NYSE,0,2011-06-16,2014-01-22,,,2,,,,Exchange-Traded Fund,,USD
99268,SKYY,"First Trust ISE Cloud Computing",OTC,1,2011-07-06,2015-09-17,,,2,,,47600,Exchange-Traded Fund,Nasdaq Global Market,USD
99269,FWDB,"Madrona Forward Global Bond ETF",NYSE,1,2011-06-21,2015-09-17,,,2,,,0,Exchange-Traded Fund,NYSE ARCA,USD
99271,FWDI,"Madrona Forward International E",NYSE,1,2011-07-08,2015-09-17,,,2,,,1300,Exchange-Traded Fund,NYSE ARCA,USD
99272,TGEM,"Egshares Telecom GEMS ETF",NYSE,0,2011-06-23,2013-10-04,,,2,,,,Exchange-Traded Fund,,USD
99284,RRF,"Wisdomtree Global Real Return",NYSE,1,2011-07-14,2015-09-17,,,2,,,0,Exchange-Traded Fund,NYSE ARCA,USD
